"Common Name","Region","Nest Type","Wingspan (cm)"
"Eurasian Marsh-Harrier","asia","platform",130
"Eurasian Nutcracker","european","bowl",55
"Eurasian Nuthatch","european","cavity",25
"Eurasian Sparrowhawk","european","platform",65
"Eurasian Tree Sparrow","european","cavity",21
"Eurasian Treecreeper","asia","bowl",20
"European Bee-Eater","european","cavity",38
"European Goldfinch","european","bowl",23
"European Honey Buzzard","european","platform",134
"European Robin","european","bowl",22
"European Roller","european","cavity",70
"European Turtle Dove","european","platform",51
"Ferruginous Pygmy-Owl","americas","cavity",39
"Fire-Fronted Serin","asia","bowl",21
"Firewood-Gatherer","americas","wild",30
"Forest Owlet","asia","cavity",56
"Galah","oceania","cavity",75
"Goldcrest","european","bowl",15
"Golden Pheasant","asia","ground",70
"Golden-Headed Cisticola","oceania","wild",15
"Golden-Headed Manakin","americas","bowl",15
"Gould's Finch","oceania","cavity",14
"Graceful Prinia","asia","wild",13
"Grandala","asia","bowl",36
"Grassland Sparrow","americas","ground",21
"Gray Wagtail","asia","bowl",26
"Great Cormorant","asia","platform",145
"Great Crested Grebe","european","wild",65
"Great Curassow","americas","platform",127
"Great Hornbill","asia","cavity",160
"Great Indian Bustard","asia","ground",230
"Great Kiskadee","americas","wild",38
"Great Potoo","americas","cavity",75
"Great Spotted Woodpecker","asia","cavity",41
"Great Tit","european","cavity",24
"Great-Tailed Grackle","americas","bowl",53
"Greater Adjutant","asia","platform",261
"Greater Flamingo","european","ground",152
"Green Bee-Eater","asia","wild",29
"Green Pheasant","asia","ground",80
"Green Pygmy-Goose","oceania","cavity",54
"Grey Butcherbird","oceania","bowl",40
"Grey Heron","european","platform",185
"Grey Shrikethrush","oceania","bowl",26
"Grey Teal","oceania","ground",64
"Grey Warbler","oceania","wild",16
"Grey-Headed Mannikin","oceania","wild",15
"Greylag Goose","european","ground",164
"Griffon Vulture","european","platform",252
"Harpy Eagle","americas","platform",204
"Hawfinch","european","bowl",30
"Himalayan Monal","asia","ground",33
"Hoatzin","americas","platform",70
"Hooded Crow","european","platform",99
"Hooded Siskin","americas","bowl",19
"Horned Guan","americas","platform",110
"Horsfield's Bronze-Cuckoo","oceania","none",29
"Horsfield's Bushlark","oceania","ground",22
"House Crow","asia","platform",81
"House Sparrow","european","cavity",22
"Ibisbill","asia","ground",74
"Inca Tern","americas","ground",85
"Indian Peafowl","asia","ground",145
"Indian Vulture","asia","platform",227
"Jabiru","americas","platform",245
"Kea","oceania","ground",90
"Keel-Billed Toucan","americas","cavity",55
"Kelp Gull","oceania","ground",135
"Kererū","oceania","platform",75
"King Vulture","americas","wild",185
"Korimako","oceania","bowl",22
"Large-Billed Crow","asia","platform",115
"Laughing Kookaburra","oceania","cavity",60
"Least Seedsnipe","americas","ground",39
"Lesser Frigatebird","oceania","platform",175
"Lesser Whitethroat","european","bowl",18
"Lewin's Honeyeater","oceania","bowl",29
"Limpkin","americas","platform",104
"Lineated Woodpecker","americas","cavity",54
"Little Blue Heron","americas","platform",103
"Little Bustard","european","ground",110
"Little Egret","asia","platform",95
"Little Grebe","asia","wild",42
"Little Owl","european","cavity",56
"Little Pied Cormorant","oceania","platform",88
"Little Ringed Plover","asia","ground",45
"Little Tinamou","americas","ground",38
"Long-Tailed Tit","european","wild",18
"Long-Wattled Umbrellabird","americas","bowl",68
"Magnificent Frigatebird","americas","platform",231
"Magpie-Lark","oceania","bowl",57
"Major Mitchell's Cockatoo","oceania","cavity",81
"Malleefowl","oceania","ground",86
"Mandarin Duck","asia","cavity",71
"Maned Duck","oceania","cavity",79
"Many-Colored Fruit-Dove","oceania","platform",30
"Marsh Seedeater","americas","bowl",16
"Masked Lapwing","oceania","ground",80
"Mistletoebird","oceania","wild",18
"Moltoni's Warbler","european","bowl",17
"Monk Parakeet","americas","wild",53
"Montagu's Harrier","european","ground",113
"Muscovy Duck","americas","cavity",145
"Musk Duck","oceania","ground",87
"Mute Swan","european","ground",220
"Nanday Parakeet","americas","cavity",55
"Neotropic Cormorant","americas","platform",102
"New Holland Honeyeater","oceania","bowl",20
"Noisy Miner","oceania","bowl",41
"Northern Gannet","european","ground",173
"Northern Goshawk","european","platform",106
"Ocellated Turkey","americas","ground",165
"Oilbird","americas","wild",101
"Olive-Backed Sunbird","asia","wild",16
"Orange-Breasted Bunting","americas","bowl",20
"Orange-Footed Scrubfowl","oceania","ground",43
"Oriental Bay-Owl","asia","cavity",71
"Oriental Magpie-Robin","asia","cavity",33
"Orinoco Goose","americas","cavity",107
"Pacific Black Duck","oceania","cavity",88
"Paradise Tanager","americas","bowl",20
"Parrot Crossbill","european","bowl",30
"Peaceful Dove","oceania","platform",25
"Peruvian Sierra-Finch","americas","bowl",25
"Pesquet's Parrot","oceania","cavity",74
"Pheasant Coucal","oceania","ground",74
"Philippine Eagle","asia","platform",193
"Pink-Eared Duck","oceania","cavity",64
"Plain Chachalaca","americas","platform",66
"Plains-Wanderer","oceania","ground",32
"Plumbeous Redstart","asia","bowl",21
"Princess Stephanie's Astrapia","oceania","platform",45
"Pūkeko","oceania","ground",78
"Purple Heron","asia","platform",135
"Rainbow Lorikeet","oceania","cavity",46
"Red Avadavat","asia","wild",13
"Red Junglefowl","asia","ground",75
"Red Kite","european","platform",157
"Red Knot","european","ground",50
"Red-Billed Scythebill","americas","cavity",40
"Red Wattlebird","oceania","bowl",49
"Red-Backed Fairywren","oceania","wild",15
"Red-Backed Shrike","european","bowl",33
"Red-Breasted Meadowlark","americas","ground",29
"Red-Capped Robin","oceania","bowl",17
"Red-Crested Cardinal","americas","bowl",28
"Red-Crowned Crane","asia","ground",235
"Red-Headed Barbet","americas","cavity",26
"Red-Legged Partridge","european","ground",48
"Red-Legged Seriema","americas","platform",90
"Red-Necked Avocet","oceania","ground",75
"Red-Vented Bulbul","asia","bowl",28
"Red-Wattled Lapwing","asia","ground",81
"Red-Winged Parrot","oceania","cavity",49
"Regent Bowerbird","oceania","bowl",36
"Resplendent Quetzal","americas","cavity",62
"Rhinoceros Auklet","asia","ground",62
"Roadside Hawk","americas","platform",79
"Rock Pigeon","asia","platform",64
"Rook","asia","platform",90
"Rose-Ringed Parakeet","asia","cavity",45
"Rosy Starling","asia","cavity",35
"Royal Spoonbill","oceania","platform",120
"Ruddy Ground Dove","americas","platform",28
"Ruddy Shelduck","asia","cavity",123
"Rufescent Tiger-Heron","americas","platform",115
"Ruff","european","ground",56
"Rufous Hornero","americas","wild",30
"Rufous Night-Heron","oceania","platform",106
"Rufous Owl","oceania","cavity",115
"Rufous-Banded Honeyeater","oceania","bowl",22
"Rufous-Collared Sparrow","americas","ground",19
"Rufous-Naped Wren","americas","wild",26
"Sacred Kingfisher","oceania","cavity",30
"Sarus Crane","asia","ground",250
"Satyr Tragopan","asia","platform",26
"Savanna Hawk","americas","platform",131
"Savi's Warbler","european","bowl",20
"Scaly-Breasted Munia","asia","wild",22
"Scarlet Ibis","americas","ground",100
"Scarlet Macaw","americas","cavity",116
"Screaming Piha","americas","bowl",42
"Shiny Cowbird","americas","none",28
"Short-Toed Treecreeper","european","cavity",20
"Silvereye","oceania","bowl",17
"Small Minivet","asia","bowl",28
"Smew","asia","cavity",62
"Smooth-Billed Ani","americas","platform",44
"Snow Bunting","european","cavity",35
"Snowy Albatross","americas","ground",303
"Snowy Owl","european","ground",138
"South Island Robin","oceania","bowl",24
"Southern Lapwing","americas","ground",80
"Southern Rough-Winged Swallow","americas","cavity",29
"Southern Screamer","americas","ground",170
"Spangled Drongo","oceania","bowl",27
"Spectacled Owl","americas","cavity",84
"Splendid Fairywren","oceania","wild",15
"Spoon-Billed Sandpiper","asia","ground",35
"Spotless Crake","oceania","ground",28
"Spotted Dove","asia","platform",45
"Spotted Nothura","americas","ground",40
"Spotted Puffbird","americas","cavity",30
"Squacco Heron","european","platform",86
"Squirrel Cuckoo","americas","platform",63
"Sri Lanka Blue-Magpie","asia","bowl",74
"Sri Lanka Frogmouth","asia","bowl",36
"Stork-Billed Kingfisher","asia","cavity",56
"Strange-Tailed Tyrant","americas","ground",33
"Stubble Quail","oceania","ground",29
"Sulphur-Crested Cockatoo","oceania","cavity",103
"Sun Parakeet","americas","cavity",46
"Sunbittern","americas","platform",65
"Sungrebe","americas","platform",48
"Superb Lyrebird","oceania","wild",73
"Tawny Frogmouth","oceania","platform",82
"Thekla's Lark","european","ground",34
"Toco Toucan","americas","cavity",120
"Tropical Kingbird","americas","bowl",40
"Tropical Parula","americas","wild",16
"Tropical Royal Flycatcher","americas","wild",28
"Trumpeter Finch","asia","ground",24
"Tūī","oceania","bowl",42
"Turquoise-Browed Motmot","americas","bowl",49
"Twite","asia","bowl",23
"Ultramarine Grosbeak","americas","bowl",25
"Vampire Ground-Finch","americas","wild",20
"Variable Seedeater","americas","bowl",17
"Verdin","americas","wild",11
"Verditer Flycatcher","asia","cavity",26
"Vermilion Flycatcher","americas","bowl",24
"Violet Cuckoo","asia","none",27
"Wattled Jacana","americas","wild",40
"Wedge-Tailed Eagle","oceania","platform",207
"Welcome Swallow","oceania","wild",28
"White Stork","european","platform",160
"White Wagtail","european","bowl",28
"White-Backed Woodpecker","european","cavity",39
"White-Bellied Sea-Eagle","oceania","platform",200
"White-Breasted Woodswallow","oceania","bowl",32
"White-Browed Tit-Spinetail","americas","cavity",27
"White-Browed Tit-Warbler","asia","wild",13
"White-Crested Laughingthrush","asia","bowl",35
"White-Faced Heron","oceania","platform",106
"White-Headed Duck","asia","ground",66
"White-Throated Dipper","european","cavity",28
"White-Throated Kingfisher","asia","cavity",42
"White-Throated Magpie-Jay","americas","bowl",59
"White-Tipped Dove","americas","platform",46
"Willie-Wagtail","oceania","bowl",30
"Willow Tit","asia","cavity",20
"Wilson's Storm Petrel","european","wild",38
"Wrybill","oceania","ground",49
"Yellow Bittern","asia","platform",49
"Yellow Warbler","americas","bowl",19
"Yellow-Headed Caracara","americas","platform",85
"Yellowhammer","european","ground",26
"Zebra Dove","asia","platform",25
